genres,movie_id,original_title,plot,cast
"['Comedy', 'Family', 'Drama']",426469,Growing Up Smith,"In 1979, an Indian family moves to America with hopes of living the American Dream. While their 10-year-old boy Smith falls head-over-heels for the girl next door, his desire to become a ""good old boy"" propels him further away from his family's ideals than ever before.","['Roni Akurati', 'Brighton Sharbino', 'Jason Lee']"
"['Drama', 'Romance']",325373,Two Lovers and a Bear,"Set in a small town near the North Pole where roads lead to nowhere, the story follows Roman and Lucy, two burning souls who come together to make a leap for life and inner peace.","['Dane DeHaan', 'Tatiana Maslany', 'Gordon Pinsent']"
['Drama'],374461,Mr. Church,"A unique friendship develops when a little girl and her dying mother inherit a cook - Mr. Church. What begins as an arrangement that should only last six months, instead spans fifteen years.","['Eddie Murphy', 'Britt Robertson', 'Natascha McElhone']"
['Adventure'],385736,Kicks,"When his hard-earned kicks get snatched by a local hood, fifteen-year old Brandon and his two best friends go on an ill-advised mission across the Bay Area to retrieve the stolen sneakers.","['Mahershala Ali', 'Kofi Siriboe', 'Christopher Meyer']"
['Drama'],339408,The Birth of a Nation,"Nat Turner, a former slave in America, leads a liberation movement in 1831 to free African-Americans in Virgina that results in a violent retaliation from whites.","['Nate Parker', 'Armie Hammer', 'Aja Naomi King']"
['Horror'],332285,Antibirth,"In a desolate community full of drug-addled Marines and rumors of kidnapping, a wild-eyed stoner named Lou wakes up after a crazy night of partying with symptoms of a strange illness and recurring visions. As she struggles to get a grip on reality, the stories of conspiracy spread.","['Natasha Lyonne', 'Chloë Sevigny', 'Meg Tilly']"
['Drama'],184341,Hands of Stone,The legendary Roberto Duran and his equally legendary trainer Ray Arcel change each other's lives.,"['Robert De Niro', 'Edgar Ramírez', 'Jurnee Smollett']"
['Drama'],271969,Ben-Hur,A falsely accused nobleman survives years of slavery to take vengeance on his best friend who betrayed him.,"['Jack Huston', 'Toby Kebbell', 'Rodrigo Santoro']"
"['Adventure', 'Family', 'Fantasy']",294272,Pete's Dragon,"Pete is a mysterious 10-year-old with no family and no home who claims to live in the woods with a giant, green dragon named Elliott. With the help of Natalie, an 11-year-old girl whose father Jack owns the local lumber mill, forest ranger Grace sets out to determine where Pete came from, where he belongs, and the truth about this dragon.","['Bryce Dallas Howard', 'Oakes Fegley', 'Wes Bentley']"
"['Action', 'Adventure', 'Crime']",297761,Suicide Squad,"From DC Comics comes the Suicide Squad, an antihero team of incarcerated supervillains who act as deniable assets for the United States government, undertaking high-risk black ops missions in exchange for commuted prison sentences.","['Will Smith', 'Margot Robbie', 'Joel Kinnaman']"
